P?stn?mer;Sta?ur;Tegund;Sv??i;Heimilisfang;Eldra p?stn?mer

101;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

102;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;101

103;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

104;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

105;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

107;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

108;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

109;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

110;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

111;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

112;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

113;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

116;Reykjav?k;St?rra dreifb?li;H?fu?borgarsv??i?; ;

121;Reykjav?k;P?sth?lf;H?fu?borgarsv??i?; ;

123;Reykjav?k;P?sth?lf;H?fu?borgarsv??i?; ;

124;Reykjav?k;P?sth?lf;H?fu?borgarsv??i?; ;

125;Reykjav?k;P?sth?lf;H?fu?borgarsv??i?; ;

127;Reykjav?k;P?sth?lf;H?fu?borgarsv??i?; ;

128;Reykjav?k;P?sth?lf;H?fu?borgarsv??i?; ;

129;Reykjav?k;P?sth?lf;H?fu?borgarsv??i?; ;

130;Reykjav?k;P?sth?lf;H?fu?borgarsv??i?; ;

132;Reykjav?k;P?sth?lf;H?fu?borgarsv??i?; ;

150;Reykjav?k;Dreifb?li;Fyrirt?kja?j?nusta; ;

155;Reykjav?k;Dreifb?li;Fyrirt?kja?j?nusta; ;

161;Reykjav?k;Dreifb?li;H?fu?borgarsv??i?; ;110

162;Reykjav?k;Dreifb?li;H?fu?borgarsv??i?; ;116

170;Seltjarnarnesi;St?rra dreifb?li;H?fu?borgarsv??i?; ;

172;Seltjarnarnesi;P?sth?lf;H?fu?borgarsv??i?; ;

190;Vogum;St?rra dreifb?li;Su?urland og Reykjanes; ;

191;Vogum;Dreifb?li;Su?urland og Reykjanes; ;190

200;K?pavogi;St?rra dreifb?li;H?fu?borgarsv??i?; ;

201;K?pavogi;St?rra dreifb?li;H?fu?borgarsv??i?; ;

202;K?pavogi;P?sth?lf;H?fu?borgarsv??i?; ;

203;K?pavogi;St?rra dreifb?li;H?fu?borgarsv??i?; ;

206;K?pavogi;Dreifb?li;; ;

210;Gar?ab?;St?rra dreifb?li;H?fu?borgarsv??i?; ;

212;Gar?ab?;P?sth?lf;H?fu?borgarsv??i?; ;

220;Hafnarfir?i;St?rra dreifb?li;H?fu?borgarsv??i?; ;

221;Hafnarfir?i;St?rra dreifb?li;H?fu?borgarsv??i?; ;

222;Hafnarfir?i;P?sth?lf;H?fu?borgarsv??i?; ;

225;Gar?ab?;St?rra dreifb?li;H?fu?borgarsv??i?; ;

230;Reykjanesb?;St?rra dreifb?li;Su?urland og Reykjanes; ;

