"Póstnúmer","Staður","Tegund","Svæði","Heimilisfang","Eldra.póstnúmer"
101,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
102,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,101
103,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
104,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
105,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
107,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
108,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
109,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
110,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
111,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
112,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
113,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
116,"Reykjavík","Stærra dreifbýli","Höfuðborgarsvæðið",,
121,"Reykjavík","Pósthólf","Höfuðborgarsvæðið",,
123,"Reykjavík","Pósthólf","Höfuðborgarsvæðið",,
124,"Reykjavík","Pósthólf","Höfuðborgarsvæðið",,
125,"Reykjavík","Pósthólf","Höfuðborgarsvæðið",,
127,"Reykjavík","Pósthólf","Höfuðborgarsvæðið",,
128,"Reykjavík","Pósthólf","Höfuðborgarsvæðið",,
129,"Reykjavík","Pósthólf","Höfuðborgarsvæðið",,
130,"Reykjavík","Pósthólf","Höfuðborgarsvæðið",,
132,"Reykjavík","Pósthólf","Höfuðborgarsvæðið",,
150,"Reykjavík","Dreifbýli","Fyrirtækjaþjónusta",,
155,"Reykjavík","Dreifbýli","Fyrirtækjaþjónusta",,
161,"Reykjavík","Dreifbýli","Höfuðborgarsvæðið",,110
162,"Reykjavík","Dreifbýli","Höfuðborgarsvæðið",,116
170,"Seltjarnarnesi","Stærra dreifbýli","Höfuðborgarsvæðið",,
172,"Seltjarnarnesi","Pósthólf","Höfuðborgarsvæðið",,
190,"Vogum","Stærra dreifbýli","Suðurland og Reykjanes",,
191,"Vogum","Dreifbýli","Suðurland og Reykjanes",,190
200,"Kópavogi","Stærra dreifbýli","Höfuðborgarsvæðið",,
201,"Kópavogi","Stærra dreifbýli","Höfuðborgarsvæðið",,
202,"Kópavogi","Pósthólf","Höfuðborgarsvæðið",,
203,"Kópavogi","Stærra dreifbýli","Höfuðborgarsvæðið",,
206,"Kópavogi","Dreifbýli","",,
210,"Garðabæ","Stærra dreifbýli","Höfuðborgarsvæðið",,
212,"Garðabæ","Pósthólf","Höfuðborgarsvæðið",,
220,"Hafnarfirði","Stærra dreifbýli","Höfuðborgarsvæðið",,
221,"Hafnarfirði","Stærra dreifbýli","Höfuðborgarsvæðið",,
222,"Hafnarfirði","Pósthólf","Höfuðborgarsvæðið",,
225,"Garðabæ","Stærra dreifbýli","Höfuðborgarsvæðið",,
230,"Reykjanesbæ","Stærra dreifbýli","Suðurland og Reykjanes",,
232,"Reykjanesbæ","Pósthólf","Suðurland og Reykjanes",,
233,"Reykjanesbæ","Stærra dreifbýli","Suðurland og Reykjanes",,
235,"Keflavíkurflugvelli","Stærra dreifbýli","Suðurland og Reykjanes",,
240,"Grindavík","Stærra dreifbýli","Suðurland og Reykjanes",,
241,"Grindavík","Dreifbýli","Suðurland og Reykjanes",,240
245,"Sandgerði","Stærra dreifbýli","Suðurland og Reykjanes",,
246,"Sandgerði","Dreifbýli","Suðurland og Reykjanes",,245
250,"Garður","Stærra dreifbýli","Suðurland og Reykjanes",,
251,"Garður","Dreifbýli","Suðurland og Reykjanes",,250
260,"Reykjanesbæ","Stærra dreifbýli","Suðurland og Reykjanes",,
262,"Reykjanesbæ","Stærra dreifbýli","Suðurland og Reykjanes",,235
270,"Mosfellsbæ","Stærra dreifbýli","Höfuðborgarsvæðið",,
271,"Mosfellsbæ","Stærra dreifbýli","Höfuðborgarsvæðið",,
276,"Kjós","Stærra dreifbýli","Höfuðborgarsvæðið",,
300,"Akranesi","Stærra dreifbýli","Vesturland og Vestfirðir",,
301,"Akranesi","Dreifbýli","Vesturland og Vestfirðir",,
302,"Akranesi","Pósthólf","Vesturland og Vestfirðir",,
310,"Borgarnesi","Stærra dreifbýli","Vesturland og Vestfirðir",,
311,"Borgarnesi","Dreifbýli","Vesturland og Vestfirðir",,
320,"Reykholti","Stærra dreifbýli","Vesturland og Vestfirðir",,
340,"Stykkishólmi","Stærra dreifbýli","Vesturland og Vestfirðir",,
341,"Stykkishólmi","Dreifbýli","Vesturland og Vestfirðir",,340
342,"Stykkishólmi","Dreifbýli","Vesturland og Vestfirðir",,311
345,"Flatey","Stærra dreifbýli","Vesturland og Vestfirðir",,
350,"Grundarfirði","Stærra dreifbýli","Vesturland og Vestfirðir",,
351,"Grundarfirði","Dreifbýli","Vesturland og Vestfirðir",,350
355,"Ólafsvík","Stærra dreifbýli","Vesturland og Vestfirðir",,
